epoch,train_loss,train_acc,val_loss,val_acc
1,0.7061148762702942,0.4857142857142857,0.6950076659520467,0.5
2,0.6646420666149684,0.5785714285714286,0.5427390495936076,0.5333333333333333
3,0.37143158274037497,0.8285714285714286,0.13630662014087042,0.9333333333333333
4,0.46038794751678197,0.8928571428571429,0.3157820165157318,0.9
5,0.1949530073574611,0.9285714285714286,0.0645072008172671,1.0
6,0.16179059616156988,0.9357142857142857,0.03648417169849078,1.0
7,0.08138690441846848,0.9785714285714285,0.029910314952333768,1.0
8,0.06028146083865847,0.9857142857142858,0.03224894441664219,1.0
9,0.032222145133917884,0.9857142857142858,0.011233050934970379,1.0
10,0.04074446817061731,0.9785714285714285,0.01637181459615628,1.0
