epoch,train_loss,train_acc,val_loss,val_acc
1,5.921097480505705,0.7,0.30522146026293434,0.8333333333333334
2,0.345035699579645,0.9642857142857143,4.813521480560302,0.5
3,7.20876896534455e-05,1.0,8.30873114267985,0.5
4,0.040601880591309834,0.9928571428571429,8.127035140991211,0.5
5,0.07847936977964953,0.9857142857142858,0.0,1.0
6,0.1525393179439039,0.9857142857142858,3.973642748178463e-09,1.0
7,7.141358967770779e-05,1.0,3.37757967372454e-07,1.0
8,0.06988664565190068,0.9857142857142858,7.947284667390401e-09,1.0
9,8.310454187570672e-05,1.0,0.18698745441312592,0.9333333333333333
10,0.002309579214123809,1.0,0.002308068828036151,1.0
11,0.0008369406261026923,1.0,4.688865449982889e-07,1.0
12,0.09690254563634448,0.9928571428571429,0.0,1.0
13,3.934752584829734e-05,1.0,5.9604614695748144e-08,1.0
14,0.00010225829728608257,1.0,8.742008693237343e-08,1.0
15,0.0264934676240719,0.9928571428571429,2.7815498763554083e-08,1.0
16,0.01631138386845318,0.9928571428571429,1.2200434923171997,0.8
17,0.03751312094773545,0.9928571428571429,7.152554957201573e-08,1.0
18,0.0034002248043033187,1.0,0.00015057412401802138,1.0
19,1.6244181725610928e-05,1.0,1.9470833384123883e-07,1.0
20,2.6009975134095546e-05,1.0,3.576277857556913e-08,1.0
