epoch,train_loss,train_acc,val_loss,val_acc
1,3.8350290639059885,0.7214285714285714,0.38304086923599245,0.8
2,0.1683253043077059,0.9857142857142858,10.316727002461752,0.5
3,0.01274718256379721,0.9928571428571429,6.165181446075439,0.5
4,0.363305075533155,0.9714285714285714,0.054919345676898955,0.9666666666666667
5,0.002129049383040993,1.0,3.973642748178463e-09,1.0
6,0.03509322490077206,0.9857142857142858,0.0016463449942724158,1.0
7,0.09352906756145915,0.9857142857142858,6.170502441212496e-06,1.0
8,0.06791557863369668,0.9785714285714285,0.049027168191969395,0.9666666666666667
9,0.008549136515491844,0.9928571428571429,3.973642748178463e-09,1.0
10,1.7293224410305388e-06,1.0,0.0037027786175409952,1.0
11,0.002729842464667647,1.0,0.011690850680073103,1.0
12,0.039192407471784055,0.9857142857142858,0.0,1.0
13,2.9390959597057937e-05,1.0,3.069975757598877,0.8
14,0.22572326309319968,0.9571428571428572,7.947277538278286e-08,1.0
15,0.08161523165929217,0.9857142857142858,1.3112997573709133e-07,1.0
16,0.0001828845971796714,1.0,1.442403515738988e-06,1.0
17,0.000325961499882713,1.0,1.1801610147207005e-06,1.0
18,0.02124216550418728,0.9928571428571429,8.613757860587156e-06,1.0
19,0.0214235864002993,0.9928571428571429,0.00023443660368987668,1.0
20,0.02056840567906225,0.9857142857142858,0.0,1.0
