run_dir,model,optimizer,lr,batch_size,weight_decay,best_val_acc,test_acc,dropout_p,augment
results,resnet50,adam,0.0001,16,0.0001,1.0,1.0,0.2,none
results,resnet50,adam,0.0001,16,0.0001,0.9666666666666667,0.9333333333333333,0.2,strong
