epoch,train_loss,train_acc,val_loss,val_acc
1,0.5225303036825998,0.7928571428571428,1.0507022778193156,0.5
2,0.4636804325239999,0.7642857142857142,1.920002849896749,0.5
3,0.3727210474865777,0.8357142857142857,2.8006401379903156,0.5
4,0.2581155679055623,0.9142857142857143,2.90265154838562,0.5
5,0.182944370167596,0.9428571428571428,0.34904646476109824,0.8666666666666667
6,0.13735821172595025,0.95,0.1800446649392446,0.9666666666666667
7,0.15230926158172745,0.9428571428571428,0.46874770720799763,0.8666666666666667
8,0.0930591038295201,0.95,0.2082058345278104,0.9333333333333333
9,0.17862617022224836,0.95,0.36650941967964173,0.9
10,0.1483540217791285,0.9357142857142857,0.40174002448717755,0.8666666666666667
