epoch,train_loss,train_acc,val_loss,val_acc
1,0.7078294481549944,0.44285714285714284,0.6962060928344727,0.5
2,0.6574856349400111,0.5071428571428571,0.47280451059341433,0.9
3,0.34280921231423106,0.8428571428571429,0.1927633712689082,0.9
4,0.37248680208410534,0.8714285714285714,0.3694216390450796,0.8333333333333334
5,0.32471806832722255,0.8714285714285714,0.1403247147798538,0.9666666666666667
6,0.2184157988854817,0.9,0.14165380696455637,0.9666666666666667
7,0.21785158642700742,0.9,0.16170613716046014,0.9333333333333333
8,0.19036119388682501,0.9142857142857143,0.07350756675004959,0.9666666666666667
9,0.12199081948825291,0.9285714285714286,0.07067949809134007,0.9666666666666667
10,0.12851063241916044,0.95,0.15426848630110424,0.9333333333333333
11,0.08045439273118973,0.9785714285714285,0.04001988259454568,0.9666666666666667
12,0.06452001165598631,0.9642857142857143,0.02224217647065719,1.0
13,0.03298074438103608,0.9928571428571429,0.012282265412310759,1.0
14,0.06500873781208481,0.9714285714285714,0.020993552108605703,1.0
15,0.08310001018856253,0.9571428571428572,0.16216195225715638,0.9
16,0.021891443923647915,1.0,0.025278444091478985,1.0
17,0.05246613641003413,0.9857142857142858,0.035206351429224014,0.9666666666666667
18,0.08866052157578191,0.9428571428571428,0.009286396143337091,1.0
19,0.026102283457294106,0.9857142857142858,0.006151385770256941,1.0
20,0.04158946321279343,0.9857142857142858,0.0007943276238317291,1.0
