epoch,train_loss,train_acc,val_loss,val_acc
1,0.7408337814467294,0.5714285714285714,0.6723716815312704,0.5
2,0.5405433143888201,0.7928571428571428,0.3066945691903432,1.0
3,0.18149940030915396,0.9571428571428572,0.09112600882848104,0.9666666666666667
4,0.09021164242710386,0.9714285714285714,0.011251039057970046,1.0
5,0.03843662259834153,0.9857142857142858,0.01053938219944636,1.0
6,0.011606247510228838,1.0,0.00928153246641159,1.0
7,0.07881612975948624,0.9642857142857143,0.15815431674321492,0.8666666666666667
8,0.16341286349509443,0.9214285714285714,0.02374792123834292,1.0
9,0.052719221849526675,0.9714285714285714,0.022279000282287596,1.0
10,0.0336660448461771,0.9857142857142858,0.02639539564649264,1.0
11,0.015598570026590356,1.0,0.018784973522027335,1.0
12,0.0036170976885062244,1.0,0.0029113998326162497,1.0
13,0.0016020472510717809,1.0,0.0038827227428555487,1.0
14,0.0010345579848425196,1.0,0.0027682694606482984,1.0
15,0.0017752309911884367,1.0,0.00840724396208922,1.0
16,0.0018719671489504566,1.0,0.0011508214209849635,1.0
17,0.0008271381020936783,1.0,0.00044693568100531895,1.0
18,0.0007328824541348565,1.0,0.00038861395247901477,1.0
19,0.0003787069691108107,1.0,0.0004030042910017073,1.0
20,0.00021041961593125182,1.0,0.0006158224927882354,1.0
