epoch,train_loss,train_acc,val_loss,val_acc
1,0.6962198444775173,0.5,0.6931653062502543,0.5
2,0.6938541225024633,0.4785714285714286,0.6929896235466003,0.5
3,0.694053818498339,0.4857142857142857,0.6930848995844523,0.5
4,0.6950944474765233,0.42142857142857143,0.6929482062657674,0.5
5,0.6927559154374259,0.5142857142857142,0.6927052060763041,0.7333333333333333
6,0.693022552558354,0.4928571428571429,0.6925223668416342,0.5
7,0.694678921358926,0.42857142857142855,0.6925239523251852,0.5
8,0.6930270416396005,0.5,0.6919201453526814,0.5
9,0.6922070247786386,0.5,0.6913898865381877,0.5
10,0.691340412412371,0.5,0.6900740226109823,0.5
11,0.6885161331721714,0.6,0.6872975309689839,0.7333333333333333
12,0.6855839456830706,0.7071428571428572,0.6811672965685527,0.7333333333333333
13,0.6743441717965263,0.75,0.661409334341685,0.7333333333333333
14,0.6325862612043108,0.7785714285714286,0.5879248261451722,0.7666666666666667
15,0.4860395882810865,0.8714285714285714,0.34275608460108437,0.9333333333333333
16,0.7108397126197815,0.6785714285714286,0.6843010981877645,0.5
17,0.6956431303705488,0.5571428571428572,0.5885454257329304,0.5333333333333333
18,0.43703257696969167,0.8,0.2816370944182078,0.9333333333333333
19,0.30328802125794546,0.85,0.28058314124743144,0.8666666666666667
20,0.32858907324927195,0.8714285714285714,0.16011988321940104,0.9333333333333333
