epoch,train_loss,train_acc,val_loss,val_acc
1,1.5385488952909196,0.5357142857142857,0.9416821122169494,0.5666666666666667
2,0.8378690004348754,0.6428571428571429,0.3436331888039907,0.8666666666666667
3,0.44928114414215087,0.8142857142857143,0.17689138303200405,0.9333333333333333
4,0.2923515583787646,0.9,0.11622390101353328,0.9666666666666667
5,0.12351879892604692,0.9428571428571428,0.08362393453717232,0.9666666666666667
6,0.0824201589184148,0.9642857142857143,0.08275863652427991,0.9666666666666667
7,0.09407713721905436,0.9571428571428572,0.06338272442420324,0.9666666666666667
8,0.05517140605619975,0.9785714285714285,0.12132084220647812,0.9666666666666667
9,0.08249348657471793,0.9714285714285714,0.07574057852228483,0.9666666666666667
10,0.056404642973627364,0.9785714285714285,0.03995335474610329,0.9666666666666667
