epoch,train_loss,train_acc,val_loss,val_acc
1,0.7408337048121861,0.5714285714285714,0.6723708232243856,0.5
2,0.5405432794775281,0.7928571428571428,0.3066791971524557,1.0
3,0.18144183680415155,0.9571428571428572,0.09090366264184316,0.9666666666666667
4,0.09500505328178406,0.9714285714285714,0.012017415215571722,1.0
5,0.04822511790054185,0.9857142857142858,0.01730510766307513,1.0
6,0.01975737831422261,1.0,0.02352233702937762,1.0
7,0.07309271275464978,0.9642857142857143,0.045908505221207936,1.0
8,0.1549314271658659,0.9285714285714286,0.0224965567390124,1.0
9,0.037606217605727056,0.9857142857142858,0.040595437337954836,1.0
10,0.021978251383240735,0.9928571428571429,0.01405563975373904,1.0
11,0.006253759064877938,1.0,0.006779529092212518,1.0
12,0.002263030639317419,1.0,0.006625157967209816,1.0
13,0.0010290703869291714,1.0,0.00447483869890372,1.0
14,0.0009650036975342248,1.0,0.0028576514373222987,1.0
15,0.0014543450013401785,1.0,0.003231459700812896,1.0
16,0.0015133141980706048,1.0,0.001072938732492427,1.0
17,0.0017392322135232723,1.0,0.0012257780414074658,1.0
18,0.0014738483637172196,1.0,0.0012099564696351687,1.0
19,0.0004631121077441743,1.0,0.001499450276605785,1.0
20,0.0007240326380789546,1.0,0.0007467441027984023,1.0
