epoch,train_loss,train_acc,val_loss,val_acc
1,0.5628207751682827,0.8571428571428571,0.5195090850194295,0.7
2,0.18040443233081271,1.0,0.14735421935717266,1.0
3,0.041926058887371,0.9928571428571429,0.026170749093095462,1.0
4,0.012677443839077438,1.0,0.00847424150755008,1.0
5,0.011363929749599525,1.0,0.010865146045883496,1.0
6,0.0034485785822783196,1.0,0.009757679825027784,1.0
7,0.0018310462789876121,1.0,0.008400792628526688,1.0
8,0.0024547535660011427,1.0,0.006307934441914161,1.0
9,0.0021651568739408894,1.0,0.004776318153987328,1.0
10,0.0020017207117884288,1.0,0.0029030545537049573,1.0
