epoch,train_loss,train_acc,val_loss,val_acc
1,1.7099181686128888,0.5428571428571428,0.7532510320345561,0.6
2,0.9083311583314623,0.6214285714285714,0.27243472735087076,0.9
3,0.38583242978368487,0.8214285714285714,0.12842506070931753,0.9666666666666667
4,0.2823498598166874,0.9071428571428571,0.12153244117895762,0.9666666666666667
5,0.12601672650447915,0.9642857142857143,0.06196949183940888,1.0
6,0.0951998069882393,0.9571428571428572,0.06366907407840093,0.9666666666666667
7,0.09433317833713123,0.95,0.07181354413429895,0.9666666666666667
8,0.07612676471471787,0.9785714285714285,0.14017869134744007,0.9333333333333333
9,0.06692803837358952,0.9857142857142858,0.09148796747128168,0.9666666666666667
10,0.05646396768944604,0.9785714285714285,0.03629735410213471,1.0
