epoch,train_loss,train_acc,val_loss,val_acc
1,0.6950944559914726,0.5,0.6936855753262837,0.5
2,0.6938123975481306,0.5,0.6935661951700847,0.5
3,0.6949356266430446,0.5142857142857142,0.6930945833524068,0.5
4,0.694264452798026,0.42142857142857143,0.6930442253748575,0.6
5,0.6939636213438851,0.42857142857142855,0.6930773973464965,0.5
6,0.6941038455281939,0.4928571428571429,0.6929663062095642,0.5
7,0.6934217197554452,0.4785714285714286,0.6929682771364848,0.5
8,0.6927091240882873,0.5142857142857142,0.6928710818290711,0.5
9,0.6929783684866769,0.4642857142857143,0.6928310036659241,0.5
10,0.6929079873221261,0.5214285714285715,0.6928096334139506,0.5
11,0.6936325022152492,0.4928571428571429,0.6927956938743591,0.5
12,0.6932664462498256,0.4857142857142857,0.6926903446515401,0.5
13,0.6928769639560155,0.4928571428571429,0.6926204760869344,0.7
14,0.6930463262966701,0.5071428571428571,0.6925748785336813,0.5
15,0.6925915718078614,0.5642857142857143,0.6924704750378926,0.5
16,0.6927132044519697,0.5214285714285715,0.6923655311266581,0.5
17,0.692904702254704,0.5071428571428571,0.692222249507904,0.5
18,0.6921690651348659,0.5428571428571428,0.6920764684677124,0.5333333333333333
19,0.6910756247384208,0.6214285714285714,0.6918813029925028,0.5
20,0.6915357947349549,0.6,0.6916455666224162,0.5
