epoch,train_loss,train_acc,val_loss,val_acc
1,0.6194149851799011,0.7928571428571428,0.6227796753247579,0.6333333333333333
2,0.3194972894021443,0.9857142857142858,0.4167016863822937,0.7333333333333333
3,0.11352930228625024,0.9857142857142858,0.11504861215750377,0.9333333333333333
4,0.026308426739914077,1.0,0.0686847910284996,0.9666666666666667
5,0.02853151112794876,0.9928571428571429,0.06730414678653081,0.9666666666666667
6,0.02202572865145547,0.9928571428571429,0.08122009932994842,0.9666666666666667
7,0.0063414346958909715,1.0,0.09902778963247935,0.9666666666666667
8,0.02006993089536471,0.9928571428571429,0.05619876980781555,0.9666666666666667
9,0.0094826238562486,1.0,0.068292169769605,0.9666666666666667
10,0.01403904663664954,1.0,0.033896452436844506,0.9666666666666667
