epoch,train_loss,train_acc,val_loss,val_acc
1,3.97885613281812,0.7428571428571429,0.41028511921564736,0.8
2,0.07735650848065104,0.9785714285714285,5.224435265858968,0.5
3,0.04097620979544457,0.9928571428571429,5.745228735605876,0.5
4,0.11471895596935455,0.9857142857142858,5.789213173557073e-06,1.0
5,0.06215842336948429,0.9857142857142858,0.0,1.0
6,0.23719283042347905,0.9785714285714285,0.0,1.0
7,0.0036536457521898617,1.0,13.240385055541992,0.6666666666666666
8,0.04677077382199449,0.9785714285714285,16.664687983194987,0.7
9,0.005977213169531938,0.9928571428571429,1.0745951453844698,0.9
10,0.0001240144365975685,1.0,7.922505392343738e-06,1.0
11,0.0034896608100031096,1.0,0.0,1.0
12,0.00044904938612074625,1.0,0.0,1.0
13,1.3577273565650622e-05,1.0,0.0,1.0
14,0.061341721851279576,0.9928571428571429,0.0,1.0
15,0.15791763757885835,0.9928571428571429,7.096123396574209e-05,1.0
16,0.06608959720971126,0.9785714285714285,1.3019085599808022e-05,1.0
17,0.020423238097902086,0.9928571428571429,1.1920927415568864e-08,1.0
18,0.8814010738328518,0.9357142857142857,0.0007838190843661627,1.0
19,0.000441900193484303,1.0,0.0816523083342569,0.9666666666666667
20,0.0001603363943493617,1.0,6.7505359159743724e-06,1.0
